Date,Time,TempC
5/17/2016,4:00:00,12.77
5/17/2016,5:00:00,12.84
5/17/2016,6:00:00,12.83
5/17/2016,7:00:00,12.85
5/17/2016,8:00:00,12.96
5/17/2016,9:00:00,13.21
5/17/2016,10:00:00,13.62
5/17/2016,11:00:00,14.09
5/17/2016,12:00:00,14.63
5/17/2016,13:00:00,15.1
5/17/2016,14:00:00,15.62
5/17/2016,15:00:00,15.97
5/17/2016,16:00:00,16.05
5/17/2016,17:00:00,15.99
5/17/2016,18:00:00,15.68
5/17/2016,19:00:00,15.12
5/17/2016,20:00:00,14.44
5/17/2016,21:00:00,13.79
5/17/2016,22:00:00,13.29
5/17/2016,23:00:00,12.84
5/18/2016,0:00:00,12.57
5/18/2016,1:00:00,12.45
5/18/2016,2:00:00,12.15
5/18/2016,3:00:00,11.88
5/18/2016,4:00:00,11.87
5/18/2016,5:00:00,11.92
5/18/2016,6:00:00,11.91
5/18/2016,7:00:00,11.86
5/18/2016,8:00:00,11.95
5/18/2016,9:00:00,12.23
5/18/2016,10:00:00,12.66
5/18/2016,11:00:00,13.23
5/18/2016,12:00:00,13.83
5/18/2016,13:00:00,14.35
5/18/2016,14:00:00,14.88
5/18/2016,15:00:00,15.34
5/18/2016,16:00:00,15.43
5/18/2016,17:00:00,15.23
5/18/2016,18:00:00,14.87
5/18/2016,19:00:00,14.29
5/18/2016,20:00:00,13.82
5/18/2016,21:00:00,13.25
5/18/2016,22:00:00,12.74
5/18/2016,23:00:00,12.53
5/19/2016,0:00:00,12.34
5/19/2016,1:00:00,12.26
5/19/2016,2:00:00,12.21
5/19/2016,3:00:00,12.27
5/19/2016,4:00:00,12.22
5/19/2016,5:00:00,12.32
5/19/2016,6:00:00,12.32
5/19/2016,7:00:00,12.31
5/19/2016,8:00:00,12.2
5/19/2016,9:00:00,12.45
5/19/2016,10:00:00,12.87
5/19/2016,11:00:00,13.39
5/19/2016,12:00:00,13.98
5/19/2016,13:00:00,14.45
5/19/2016,14:00:00,14.85
5/19/2016,15:00:00,15.03
5/19/2016,16:00:00,14.99
5/19/2016,17:00:00,14.76
5/19/2016,18:00:00,14.73
5/19/2016,19:00:00,14.47
5/19/2016,20:00:00,13.9
5/19/2016,21:00:00,13.58
5/19/2016,22:00:00,12.98
5/19/2016,23:00:00,12.83
5/20/2016,0:00:00,12.93
5/20/2016,1:00:00,12.85
5/20/2016,2:00:00,12.68
5/20/2016,3:00:00,12.91
5/20/2016,4:00:00,13.12
5/20/2016,5:00:00,13.16
5/20/2016,6:00:00,13.17
5/20/2016,7:00:00,13.17
5/20/2016,8:00:00,13.21
5/20/2016,9:00:00,13.25
5/20/2016,10:00:00,13.44
5/20/2016,11:00:00,13.7
5/20/2016,12:00:00,14.09
5/20/2016,13:00:00,14.39
5/20/2016,14:00:00,14.47
5/20/2016,15:00:00,14.44
5/20/2016,16:00:00,14.28
5/20/2016,17:00:00,13.92
5/20/2016,18:00:00,13.43
5/20/2016,19:00:00,13.18
5/20/2016,20:00:00,12.9
5/20/2016,21:00:00,12.68
5/20/2016,22:00:00,12.55
5/20/2016,23:00:00,12.52
5/21/2016,0:00:00,12.45
5/21/2016,1:00:00,12.48
5/21/2016,2:00:00,12.48
5/21/2016,3:00:00,12.58
5/21/2016,4:00:00,12.73
5/21/2016,5:00:00,12.77
5/21/2016,6:00:00,12.8
5/21/2016,7:00:00,12.87
5/21/2016,8:00:00,12.92
5/21/2016,9:00:00,12.97
5/21/2016,10:00:00,13.01
5/21/2016,11:00:00,13.11
5/21/2016,12:00:00,13.28
5/21/2016,13:00:00,13.53
5/21/2016,14:00:00,13.67
5/21/2016,15:00:00,13.73
5/21/2016,16:00:00,13.78
5/21/2016,17:00:00,13.73
5/21/2016,18:00:00,13.59
5/21/2016,19:00:00,13.36
5/21/2016,20:00:00,13.15
5/21/2016,21:00:00,13
5/21/2016,22:00:00,12.84
5/21/2016,23:00:00,12.62
5/22/2016,0:00:00,12.44
5/22/2016,1:00:00,12.28
5/22/2016,2:00:00,12.18
5/22/2016,3:00:00,12.12
5/22/2016,4:00:00,12.08
5/22/2016,5:00:00,12.05
5/22/2016,6:00:00,12.09
5/22/2016,7:00:00,12.17
5/22/2016,8:00:00,12.21
5/22/2016,9:00:00,12.29
5/22/2016,10:00:00,12.56
5/22/2016,11:00:00,12.87
5/22/2016,12:00:00,12.9
5/22/2016,13:00:00,13.22
5/22/2016,14:00:00,13.42
5/22/2016,15:00:00,13.7
5/22/2016,16:00:00,13.88
5/22/2016,17:00:00,13.87
5/22/2016,18:00:00,13.55
5/22/2016,19:00:00,13.35
5/22/2016,20:00:00,12.95
5/22/2016,21:00:00,12.61
5/22/2016,22:00:00,12.39
5/22/2016,23:00:00,12.18
5/23/2016,0:00:00,12.25
5/23/2016,1:00:00,12.21
5/23/2016,2:00:00,12.17
5/23/2016,3:00:00,12.19
5/23/2016,4:00:00,12.16
5/23/2016,5:00:00,12.17
5/23/2016,6:00:00,12.18
5/23/2016,7:00:00,12.18
5/23/2016,8:00:00,12.27
5/23/2016,9:00:00,12.37
5/23/2016,10:00:00,12.67
5/23/2016,11:00:00,13.13
5/23/2016,12:00:00,13.49
5/23/2016,13:00:00,13.98
5/23/2016,14:00:00,14.17
5/23/2016,15:00:00,14.15
5/23/2016,16:00:00,14.48
5/23/2016,17:00:00,14.68
5/23/2016,18:00:00,14.6
5/23/2016,19:00:00,14.41
5/23/2016,20:00:00,14
5/23/2016,21:00:00,13.41
5/23/2016,22:00:00,12.87
5/23/2016,23:00:00,12.62
5/24/2016,0:00:00,12.43
5/24/2016,1:00:00,12.29
5/24/2016,2:00:00,12.22
5/24/2016,3:00:00,12.15
5/24/2016,4:00:00,12.05
5/24/2016,5:00:00,11.95
5/24/2016,6:00:00,11.9
5/24/2016,7:00:00,11.94
5/24/2016,8:00:00,12.05
5/24/2016,9:00:00,12.34
5/24/2016,10:00:00,12.81
5/24/2016,11:00:00,13.17
5/24/2016,12:00:00,13.65
5/24/2016,13:00:00,14.3
5/24/2016,14:00:00,14.9
